site,date,word_count,grade_level,comment_count,likes
slowboring,2021-09-27,1964,11.6,475,184
slowboring,2021-09-24,1248,10.1,416,187
slowboring,2021-09-29,1812,8.6,303,141
slowboring,2021-10-11,2390,13.7,98,86
slowboring,2021-09-28,1667,12.3,227,75
slowboring,2021-09-30,1750,11.9,254,95
slowboring,2021-10-01,2307,10.0,245,139
slowboring,2021-10-02,3045,13.1,58,82
slowboring,2021-10-04,1911,9.8,301,194
slowboring,2021-10-01,10778,10.1,30,14
slowboring,2021-10-05,1868,9.8,321,212
slowboring,2021-10-06,1417,10.5,165,119
slowboring,2021-10-07,2141,9.9,264,235
slowboring,2021-10-08,2047,11.1,128,113
slowboring,2021-10-12,2543,11.4,141,201
slowboring,2021-10-13,1581,11.0,300,112
slowboring,2021-10-14,2017,10.7,232,141
slowboring,2021-10-15,2155,11.4,203,130
slowboring,2021-10-18,2230,10.0,243,121
slowboring,2021-10-19,2079,10.5,176,142
slowboring,2021-10-20,1866,10.2,621,172
slowboring,2021-10-29,702,9.4,220,212
slowboring,2021-10-21,1872,9.7,483,255
slowboring,2021-10-25,1609,11.3,317,188
slowboring,2021-10-22,2527,11.5,145,111
slowboring,2021-10-26,2430,12.5,169,120
slowboring,2021-10-27,2026,11.9,265,134
slowboring,2021-10-28,2278,9.9,134,103
slowboring,2021-11-01,1655,11.6,298,131
slowboring,2021-11-02,2212,11.8,136,114
slowboring,2021-11-03,1903,11.4,140,95
slowboring,2021-11-04,1178,13.0,463,146
slowboring,2021-11-05,1978,9.0,269,127
slowboring,2021-11-06,2656,13.5,87,80
slowboring,2021-11-09,2476,12.8,417,175
slowboring,2021-11-10,2212,12.0,154,103
slowboring,2021-11-08,2148,11.2,608,278
slowboring,2021-11-12,2134,11.4,438,195
slowboring,2021-11-15,1943,10.7,251,104
slowboring,2021-11-11,30,4.2,65,85
slowboring,2021-11-16,2073,10.5,201,114
slowboring,2021-11-17,2161,12.8,295,196
slowboring,2021-11-18,2485,10.1,247,179
slowboring,2021-11-19,2570,10.5,140,83
slowboring,2021-11-22,2604,13.0,316,178
slowboring,2021-11-29,2533,12.2,257,133
slowboring,2021-11-26,3081,13.7,107,132
slowboring,2021-11-25,426,12.7,87,137
slowboring,2021-11-27,1825,9.6,92,83
slowboring,2021-11-23,2141,10.3,291,177
slowboring,2021-11-24,2487,11.7,300,148
slowboring,2021-12-02,2000,11.2,152,100
slowboring,2021-11-30,2411,10.7,135,102
slowboring,2021-12-01,1583,12.1,193,100
slowboring,2021-12-03,1558,12.0,310,95
slowboring,2021-12-06,2225,11.6,210,125
slowboring,2021-12-27,1263,11.5,162,70
slowboring,2021-12-07,1814,10.3,139,117
slowboring,2021-12-08,2473,12.1,143,87
slowboring,2021-12-10,2768,9.7,146,130
slowboring,2021-12-09,2595,12.2,408,151
slowboring,2021-12-13,2104,12.2,361,183
slowboring,2021-12-11,2636,13.2,86,61
slowboring,2021-12-14,2104,10.9,153,73
slowboring,2021-12-15,1470,11.2,84,112
slowboring,2021-12-28,3213,13.8,258,166
slowboring,2021-12-23,2706,10.8,235,318
slowboring,2021-12-16,2824,10.6,437,168
slowboring,2021-12-29,1858,8.9,101,99
slowboring,2021-12-17,2378,10.6,182,103
slowboring,2021-12-21,2394,8.4,163,131
slowboring,2021-12-20,2145,10.2,401,178
slowboring,2021-12-22,2037,10.1,319,137
slowboring,2021-12-30,1468,10.2,209,198
slowboring,2022-01-03,3509,11.3,296,190
slowboring,2022-01-06,2288,11.6,207,113
slowboring,2021-12-31,779,12.0,111,129
slowboring,2022-01-05,3006,9.7,208,90
slowboring,2022-01-04,2518,10.3,225,144
slowboring,2022-01-07,2121,12.4,308,127
slowboring,2022-01-10,1786,10.3,508,182
slowboring,2022-01-11,2090,11.8,326,145
slowboring,2022-01-12,2567,10.5,442,163
slowboring,2022-01-13,1416,9.7,280,182
slowboring,2022-01-14,1403,11.4,214,122
slowboring,2022-01-18,1811,10.7,237,154
slowboring,2022-01-17,620,10.4,171,87
slowboring,2022-01-15,2018,10.3,161,71
slowboring,2022-01-17,228,13.4,1034,594
slowboring,2022-01-19,1801,10.3,326,173
slowboring,2022-01-20,1613,8.8,268,203
slowboring,2022-01-21,2612,11.2,166,112
slowboring,2022-02-05,3075,9.9,301,89
slowboring,2022-01-24,1857,10.2,238,173
slowboring,2022-01-25,3931,8.8,239,188
slowboring,2022-01-27,2095,10.5,347,158
slowboring,2022-01-26,2109,12.1,172,86
slowboring,2022-01-28,2973,9.9,146,47
slowboring,2022-01-31,2621,10.3,665,166
slowboring,2022-02-01,2530,9.9,136,90
slowboring,2022-02-02,2539,12.2,360,134
slowboring,2022-02-03,2066,10.1,270,118
slowboring,2022-02-04,3721,10.6,464,95
slowboring,2022-02-07,2265,9.8,218,117
slowboring,2022-02-24,2674,9.8,202,127
slowboring,2022-02-08,2255,10.5,110,57
slowboring,2022-02-09,2647,11.2,261,174
slowboring,2022-02-10,2783,9.4,328,214
slowboring,2022-02-11,3045,10.3,219,80
slowboring,2022-02-14,1462,12.5,365,141
slowboring,2022-02-23,2535,12.9,162,191
slowboring,2022-02-15,3138,11.5,191,225
slowboring,2022-02-16,2569,10.3,357,160
slowboring,2022-02-17,2365,9.7,358,178
slowboring,2022-02-18,2847,10.6,230,110
slowboring,2022-03-19,2270,11.1,252,93
slowboring,2022-02-22,1466,12.2,243,149
slowboring,2022-02-21,247,10.9,100,80
slowboring,2022-02-25,3532,9.1,148,64
slowboring,2022-02-28,1972,11.6,101,150
slowboring,2022-03-01,2044,9.2,392,192
slowboring,2022-03-02,2928,11.2,188,105
slowboring,2022-03-03,2681,11.6,267,109
slowboring,2022-03-04,4277,10.8,154,71
slowboring,2022-03-07,2897,10.3,254,173
slowboring,2022-03-08,2907,12.2,263,169
slowboring,2022-03-10,2887,11.0,139,111
slowboring,2022-03-09,2266,10.7,74,64
slowboring,2022-03-11,4193,10.8,157,90
slowboring,2022-03-14,2108,11.2,160,112
slowboring,2022-03-15,3333,11.2,110,147
slowboring,2022-03-17,2013,12.2,97,88
slowboring,2022-03-16,2353,12.3,223,184
slowboring,2022-03-18,4819,10.6,203,65
slowboring,2022-03-21,2097,10.1,77,75
slowboring,2022-03-23,1853,12.1,261,166
slowboring,2022-03-22,1982,10.3,161,95
slowboring,2022-03-24,2038,12.0,210,145
slowboring,2022-03-25,2565,11.4,183,98
slowboring,2022-03-28,1657,10.7,160,128
slowboring,2022-03-29,2048,10.1,341,234
slowboring,2022-03-26,1324,14.2,169,83
slowboring,2022-03-30,3199,11.9,156,134
slowboring,2022-04-04,2503,11.1,302,176
slowboring,2022-03-31,1875,10.6,206,123
slowboring,2022-04-01,4333,9.3,164,110
slowboring,2022-04-14,2093,10.5,115,70
slowboring,2022-04-05,1999,10.6,236,143
slowboring,2022-04-06,2301,10.4,132,95
slowboring,2022-04-07,2720,12.3,125,114
slowboring,2022-04-12,2811,10.2,260,139
slowboring,2022-04-08,3289,10.5,186,90
slowboring,2022-04-11,1179,8.7,381,115
slowboring,2022-04-13,3368,11.7,175,111
slowboring,2022-04-15,3803,11.0,219,81
slowboring,2022-04-18,2326,11.0,248,134
slowboring,2022-04-19,2115,11.4,212,164
slowboring,2022-05-14,1959,12.3,80,62
slowboring,2022-05-02,2984,12.6,447,198
slowboring,2022-04-20,2040,13.3,421,204
slowboring,2022-04-21,2255,12.2,259,127
slowboring,2022-04-22,4158,10.7,300,90
slowboring,2022-04-25,2440,11.9,319,187
slowboring,2022-04-26,2272,10.3,216,145
slowboring,2022-04-28,1807,11.2,115,118
slowboring,2022-04-27,1621,10.9,271,179
slowboring,2022-04-29,3189,10.4,224,98
slowboring,2022-05-03,1928,10.3,213,115
slowboring,2022-05-04,1996,13.5,190,136
slowboring,2022-05-11,2817,13.1,217,133
slowboring,2022-05-05,1653,8.3,149,133
slowboring,2022-05-06,3510,10.9,336,83
slowboring,2022-05-09,2089,10.8,369,202
slowboring,2022-05-10,1871,9.1,148,101
slowboring,2022-05-12,2720,13.2,146,130
slowboring,2022-05-13,3871,11.0,262,68
slowboring,2022-05-16,2224,8.0,266,183
slowboring,2022-05-17,2047,11.7,148,101
slowboring,2022-05-18,1867,11.4,130,95
slowboring,2022-05-24,424,12.9,6,26
slowboring,2022-05-25,1934,12.4,231,110
slowboring,2022-05-19,2261,12.3,199,177
slowboring,2022-05-20,3350,11.0,187,71
slowboring,2022-05-23,2482,12.6,384,156
slowboring,2022-05-24,2810,11.0,122,148
slowboring,2022-05-27,2958,11.5,292,80
slowboring,2022-05-26,2942,13.0,439,139
slowboring,2022-05-31,2259,10.7,654,229
slowboring,2022-06-01,2969,10.7,148,113
slowboring,2022-06-02,2642,11.1,338,136
slowboring,2022-06-06,2079,11.0,158,107
slowboring,2022-06-03,2810,11.0,210,84
slowboring,2022-06-07,1876,11.0,232,110
slowboring,2022-06-28,1895,10.5,283,162
slowboring,2022-06-08,2312,13.3,277,149
slowboring,2022-06-09,2493,13.1,257,181
slowboring,2022-06-10,2874,8.6,182,63
slowboring,2022-06-13,2241,10.9,223,142
slowboring,2022-06-16,2415,11.2,335,236
slowboring,2022-06-14,1624,11.2,85,63
slowboring,2022-06-15,2264,10.3,218,146
slowboring,2022-06-13,58,7.3,3,22
slowboring,2022-06-22,2800,10.7,189,148
slowboring,2022-06-27,1803,10.9,406,190
